id,day,lesson,num_places,num_weeks,start_time,end_time,available,price
3392,2,9,9,13,18:50:00,19:20:00,1,133.25
3393,3,9,9,13,19:35:00,20:05:00,1,133.25
3394,5,11,9,13,16:30:00,17:00:00,1,133.25
3395,6,11,9,13,10:50:00,11:20:00,1,133.25
3398,2,9,10,13,16:30:00,17:00:00,1,133.25
3399,1,9,10,10,19:40:00,20:10:00,1,102.5
3400,3,9,10,13,16:30:00,17:00:00,1,133.25
3401,4,9,10,13,19:35:00,20:05:00,1,133.25
3402,5,9,10,13,18:50:00,19:20:00,1,133.25
3406,6,7,10,13,15:25:00,15:55:00,1,133.25
3407,2,5,16,13,20:00:00,20:30:00,1,133.25
3408,4,5,16,13,20:45:00,21:15:00,1,133.25
3409,6,5,16,13,09:35:00,10:05:00,1,133.25
3410,2,4,16,13,20:00:00,20:30:00,1,133.25
3411,4,4,16,13,20:45:00,21:15:00,1,133.25
3412,6,4,16,13,09:35:00,10:05:00,1,133.25
3413,2,2,8,13,20:00:00,20:30:00,1,133.25
3414,4,2,8,13,20:45:00,21:15:00,1,133.25
3415,6,2,8,13,09:35:00,10:05:00,1,133.25
3418,1,3,10,10,19:40:00,20:10:00,1,102.5
3419,2,3,10,13,16:30:00,17:00:00,1,133.25
3420,2,3,9,13,18:50:00,19:20:00,1,133.25
3421,3,3,10,13,16:30:00,17:00:00,1,133.25
3422,3,3,9,13,19:35:00,20:05:00,1,133.25
3423,4,3,10,13,19:35:00,20:05:00,1,133.25
3424,5,3,9,13,16:30:00,17:00:00,1,133.25
3425,5,3,10,13,18:50:00,19:20:00,1,133.25
3426,5,3,10,13,20:00:00,20:30:00,1,133.25
3427,6,3,9,13,10:50:00,11:20:00,1,133.25
3513,7,9,9,13,12:10:00,12:40:00,1,133.25
3514,7,11,9,13,12:10:00,12:40:00,1,133.25
3515,7,6,9,13,12:10:00,12:40:00,1,133.25
3516,7,7,9,13,12:10:00,12:40:00,1,133.25
3517,7,3,9,13,12:10:00,12:40:00,1,133.25
3511,5,3,13,10,14:20:00,14:50:00,1,80
3496,5,17,1,1,13:00:00,13:30:00,0,123
3498,6,7,10,13,14:15:00,14:45:00,1,133.25
3501,6,18,9,12,11:25:00,11:55:00,1,104.4
3502,6,18,9,12,12:00:00,12:30:00,1,104.4
3503,6,18,9,12,12:35:00,13:05:00,1,104.4
3504,5,11,9,13,19:25:00,19:55:00,1,133.25
3506,5,9,15,10,14:20:00,14:50:00,1,80
3507,5,11,12,10,14:20:00,14:50:00,1,80
3508,5,6,13,10,14:20:00,14:50:00,1,80
3509,7,9,8,13,01:00:00,02:00:00,1,2
3518,5,19,10,13,20:00:00,20:30:00,1,133.25
3520,5,19,0,1,20:00:00,20:30:00,0,143
