"id","day_id","lesson_id","instructor1_id","instructor2_id","num_places","num_weeks","week_price","slot","time_start","time_end","active","active_next","category_id","product_id","price"
2642,5,3,5394,1,9,13,8.85,"A","15:55:00","16:25:00",1,1,18,11563,133.25
2682,5,3,2386,1,10,13,8.85,"A","18:15:00","18:45:00",1,1,18,11564,133.25
2722,5,3,5367,1,9,13,8.85,"A","19:25:00","19:55:00",1,1,18,11565,133.25
2762,6,3,2386,1,9,13,9.25,"A","10:15:00","10:45:00",1,1,18,11566,133.25
2802,6,3,2357,1,10,13,8.85,"A","14:15:00","14:45:00",1,1,18,11567,133.25
2842,6,3,2377,1,10,13,8.85,"A","14:50:00","15:20:00",1,1,18,11568,133.25
2882,6,3,2377,1,10,13,8.85,"A","15:25:00","15:55:00",1,1,18,11569,133.25
2946,3,12,2370,2366,30,13,9.50,"A","20:10:00","20:55:00",1,1,18,11570,143.00
2984,6,13,2377,1,9,12,4.50,"A","11:25:00","11:55:00",1,1,19,11571,104.40
3018,6,13,5394,2348,9,12,4.50,"A","12:00:00","12:30:00",1,1,19,11572,104.40
3050,6,13,5394,1,9,12,4.50,"A","12:35:00","13:05:00",1,1,19,11573,104.40
3082,6,14,2357,1,9,12,4.50,"A","12:35:00","13:05:00",1,1,19,11574,104.40
3115,6,14,2363,1,9,12,4.50,"A","12:00:00","12:30:00",1,1,19,11575,104.40
3153,6,14,5394,1,9,12,4.50,"A","11:25:00","11:55:00",1,1,19,11576,104.40
3185,6,15,2377,1,9,12,4.50,"A","12:35:00","13:05:00",1,1,19,11577,104.40
3217,6,15,2357,1,9,12,4.50,"A","12:00:00","12:30:00",1,1,19,11578,104.40
3255,6,15,2363,1,9,12,4.50,"A","11:25:00","11:55:00",1,1,19,11579,104.40
3288,6,16,2363,1,9,12,4.50,"A","12:35:00","13:05:00",1,1,19,11580,104.40
3320,6,16,2377,1,9,12,4.50,"A","12:00:00","12:30:00",1,1,19,11581,104.40
3358,6,16,2357,1,9,12,4.50,"A","11:25:00","11:55:00",1,1,19,11582,104.40
3360,6,7,2357,1,10,13,8.85,"A","14:50:00","15:20:00",1,1,18,11584,133.25
3362,1,7,5368,1,10,10,8.85,"A","19:40:00","20:10:00",1,1,18,11586,102.50
3363,2,7,5672,1,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11587,133.25
3364,3,7,5594,1,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11588,133.25
3365,3,7,5156,1,9,13,8.85,"A","19:35:00","20:05:00",1,1,18,11589,133.25
3366,4,7,2359,1,10,13,8.85,"A","19:35:00","20:05:00",1,1,18,11590,133.25
3367,5,7,5156,1,9,13,8.85,"A","16:30:00","17:00:00",1,1,18,11591,133.25
3368,5,7,2386,1,10,13,8.85,"A","20:00:00","20:30:00",1,1,18,11592,133.25
